"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"CNOT3"	"CNOT3"	0.432957889046196	-0.181182076802392	-0.127052710720699	"S01"	0.432957889046196	"IS01"
"SSB"	"SSB"	0.431321430651581	-0.0354856736918414	-0.286162542163256	"S01"	0.431321430651581	"IS01"
"RBSN"	"RBSN"	0.427041007018239	0.211441109112062	-0.554686214482092	"S01"	0.427041007018239	"IS01"
"RPS13"	"RPS13"	0.426907988906063	-0.655693796969929	0.399724773499272	"S01"	0.426907988906063	"IS01"
"ZNF581"	"ZNF581"	0.411357392883039	-0.189138246114607	-0.102009941598326	"S01"	0.411357392883039	"IS01"
"ACOX1"	"ACOX1"	0.407963065044098	0.236221923482712	-0.5675735825028	"S01"	0.407963065044098	"IS01"
"ACCS"	"ACCS"	0.407415842912444	-0.014039363165134	-0.291740140677609	"S01"	0.407415842912444	"IS01"
"PDE8B"	"PDE8B"	0.404013735175279	0.396815798663027	-0.741334673946383	"S01"	0.404013735175279	"IS01"
"EHBP1"	"EHBP1"	0.40253497283427	0.380488664238596	-0.722251137037852	"S01"	0.40253497283427	"IS01"
"GIPR"	"GIPR"	0.400328562190254	0.259281846138643	-0.587195387843633	"S01"	0.400328562190254	"IS01"
"ISY1"	"ISY1"	0.394137111632997	0.0276693979335043	-0.327629870929612	"S01"	0.394137111632997	"IS01"
"RSPO2"	"RSPO2"	0.392077385245263	-0.0612502472993381	-0.228217824863113	"S01"	0.392077385245263	"IS01"
"RAB1B"	"RAB1B"	0.382994991979957	-0.274996632827707	0.0138652645665489	"S01"	0.382994991979957	"IS01"
"VDAC3"	"VDAC3"	0.38176222540134	0.113748567149589	-0.413032203106232	"S01"	0.38176222540134	"IS01"
"LIPH"	"LIPH"	0.38099565260323	0.211181159995258	-0.519682004775586	"S01"	0.38099565260323	"IS01"
"AKAP1"	"AKAP1"	0.379436823505714	0.316160678458166	-0.634040088075177	"S01"	0.379436823505714	"IS01"
"SSTR2"	"SSTR2"	0.37311853093634	0.34763385633186	-0.663913380065891	"S01"	0.37311853093634	"IS01"
"SYNM"	"SYNM"	0.371147075719829	0.276081830284656	-0.583681530635155	"S01"	0.371147075719829	"IS01"
"ACOT1"	"ACOT1"	0.366710320931547	-0.0567757287574911	-0.214015452907583	"S01"	0.366710320931547	"IS01"
"PPP1R21"	"PPP1R21"	0.365912510797909	0.346503989165584	-0.657236595608681	"S01"	0.365912510797909	"IS01"
"RPL17"	"RPL17"	0.365458034913506	-0.463712929866838	0.234776640588888	"S01"	0.365458034913506	"IS01"
"HOXA5"	"HOXA5"	0.364916022380326	0.294037712050235	-0.598744368674115	"S01"	0.364916022380326	"IS01"
"C11orf1"	"C11orf1"	0.36132797792299	-0.212964302194542	-0.0380664748458852	"S01"	0.36132797792299	"IS01"
"FOXRED1"	"FOXRED1"	0.360654378098404	0.0243553566322599	-0.298736728599418	"S01"	0.360654378098404	"IS01"
"POLE"	"POLE"	0.346753571818492	0.0453119750165407	-0.311318994668095	"S01"	0.346753571818492	"IS01"
"RPL22"	"RPL22"	0.344728956583535	-0.0600294065093951	-0.193860757510757	"S01"	0.344728956583535	"IS01"
"SDR39U1"	"SDR39U1"	0.343951689887361	-0.202511351544088	-0.0364685986346389	"S01"	0.343951689887361	"IS01"
"GYG2"	"GYG2"	0.34028317523035	0.263626894297104	-0.546703126989613	"S01"	0.34028317523035	"IS01"
"CPT1B"	"CPT1B"	0.330969387605462	0.0555809910297626	-0.310719136151877	"S01"	0.330969387605462	"IS01"
"TMEM43"	"TMEM43"	0.325251618231662	0.316254181185226	-0.593287428683928	"S01"	0.325251618231662	"IS01"
"NPIPB6"	"NPIPB6"	0.321326030944562	0.217165221840791	-0.481276859249855	"S01"	0.321326030944562	"IS01"
